"seq" "sex" "dob_yy" "dob_mm" "dob_dd" "reg" "state" "helpertype" "helperpresent" "time"
"1" 1 2 9 3 27 6 18 15 1 1982
"2" 2 2 1 12 7 8 10 0 0 1982
"3" 3 2 2 11 7 0 31 0 0 1982
"4" 4 2 11 1 11 5 6 0 0 1982
"5" 5 2 17 12 5 10 36 15 1 1982
"6" 6 1 6 7 7 10 32 0 0 1982
"7" 7 2 16 4 25 10 17 14 1 1982
"8" 8 2 7 7 24 3 31 0 0 1982
"9" 9 2 8 3 22 1 45 23 1 1982
"10" 10 2 9 4 7 4 28 0 0 1982
"11" 11 2 25 7 31 2 25 0 0 1982
"12" 12 2 10 9 7 5 6 0 0 1982
"13" 13 2 9 11 7 3 31 0 0 1982
"14" 14 2 5 3 29 12 39 0 0 1982
"15" 15 2 5 12 7 10 36 15 1 1982
"16" 16 1 15 6 2 6 42 0 0 1982
"17" 17 2 4 12 24 0 25 0 0 1982
"18" 18 2 7 10 7 12 39 0 0 1982
"19" 19 2 13 11 17 0 6 0 0 1982
"20" 20 2 16 12 20 8 38 0 0 1982
"21" 21 2 9 2 9 3 31 15 1 1982
"22" 22 2 17 8 6 3 31 0 0 1982
"23" 23 1 3 1 7 8 38 0 0 1982
"24" 24 2 9 2 7 6 42 15 1 1982
"25" 25 2 16 5 7 3 31 0 0 1982
"26" 26 2 16 2 7 4 15 0 0 1982
"27" 27 2 16 2 27 6 16 0 0 1982
"28" 28 2 5 2 7 0 31 0 0 1982
"29" 29 2 10 4 7 11 43 17 1 1982
"30" 30 2 17 1 15 6 8 15 1 1982
"31" 31 2 28 11 7 5 6 0 0 1982
"32" 32 2 17 2 17 8 34 24 1 1982
"33" 33 2 22 2 25 10 17 15 1 1982
"34" 34 2 10 7 7 0 25 0 0 1982
"35" 35 2 2 6 7 4 28 0 0 1982
"36" 36 2 27 1 24 3 31 0 0 1982
"37" 37 2 16 5 6 1 25 15 1 1982
"38" 38 2 22 3 7 10 36 21 1 1982
"39" 39 2 20 9 7 8 38 0 0 1982
"40" 40 2 12 11 5 6 16 15 1 1982
"41" 41 2 17 2 6 8 10 0 0 1982
"42" 42 2 25 2 23 6 16 0 0 1982
"43" 43 2 9 3 7 9 1 0 0 1982
"44" 44 2 28 10 13 4 28 23 1 1982
"45" 45 2 25 11 26 5 6 0 0 1982
"46" 46 2 16 1 18 0 13 0 0 1982
"47" 47 2 26 9 22 2 24 0 0 1982
"48" 48 2 18 3 7 6 42 15 1 1982
"49" 49 2 28 12 13 3 31 0 0 1982
"50" 50 2 12 2 7 6 9 0 0 1982
"51" 52 1 6 1 7 10 36 0 0 1982
"52" 53 2 5 7 30 8 47 15 1 1982
"53" 54 2 26 8 10 8 38 15 1 1982
"54" 55 2 21 9 28 4 15 0 0 1982
"55" 56 2 5 8 7 3 31 0 0 1982
"56" 57 1 13 2 7 11 43 11 1 1982
"57" 58 2 18 5 16 11 43 0 0 1982
"58" 59 1 1 2 7 8 47 0 0 1982
"59" 60 2 11 12 7 3 31 24 1 1982
"60" 61 2 3 4 1 0 12 0 0 1982
"61" 62 2 15 8 7 11 43 0 0 1982
"62" 63 2 6 11 17 4 28 0 0 1982
"63" 64 2 14 11 7 5 6 0 0 1982
"64" 65 2 6 11 14 4 28 15 1 1982
"65" 66 1 31 2 13 6 18 11 1 1982
"66" 67 2 13 11 18 3 31 19 1 1982
"67" 68 2 19 1 15 4 28 21 1 1982
"68" 69 2 22 5 15 3 31 24 1 1982
"69" 70 2 13 2 5 4 15 21 1 1982
"70" 71 2 8 4 8 6 16 0 0 1982
"71" 72 2 22 7 26 4 15 11 1 1982
"72" 73 2 15 2 12 11 22 0 0 1982
"73" 74 1 14 12 4 3 31 0 0 1982
"74" 75 2 21 4 7 10 36 0 0 1982
"75" 76 2 6 11 6 7 39 0 0 1982
"76" 77 2 29 6 25 9 35 0 0 1982
"77" 78 1 4 2 7 6 9 0 0 1982
"78" 79 1 21 4 7 8 41 11 1 1982
"79" 80 1 6 2 7 0 2 0 0 1982
"80" 81 1 1 2 7 11 44 19 1 1982
"81" 82 1 6 2 7 7 30 0 0 1982
"82" 83 2 21 6 23 9 2 15 1 1982
"83" 84 2 21 8 7 9 35 15 1 1982
"84" 85 2 13 12 7 3 31 0 0 1982
"85" 86 1 31 5 17 3 31 0 0 1982
"86" 87 2 5 11 9 2 25 0 0 1982
"87" 88 2 25 5 4 1 45 0 0 1982
"88" 89 2 9 8 7 11 27 0 0 1982
"89" 90 1 8 2 7 9 35 11 1 1982
"90" 91 2 20 6 22 10 36 0 0 1982
"91" 92 2 11 8 7 1 12 0 0 1982
"92" 93 1 8 2 7 11 20 0 0 1982
"93" 94 2 10 1 12 7 40 26 1 1982
"94" 95 2 4 1 7 3 46 0 0 1982
"95" 96 2 26 7 18 6 16 0 0 1982
"96" 97 1 12 1 5 9 3 0 0 1982
"97" 98 1 6 2 7 5 6 0 0 1982
"98" 99 1 7 2 7 3 31 0 0 1982
"99" 100 2 14 11 7 4 28 0 0 1982
"100" 101 2 21 10 28 12 39 24 1 1982
"101" 102 2 12 4 7 4 15 0 0 1982
"102" 103 2 27 9 24 5 6 0 0 1982
"103" 104 2 24 5 5 3 31 0 0 1982
"104" 105 1 16 11 11 5 6 0 0 1982
"105" 106 2 11 3 13 9 35 14 1 1982
"106" 107 2 15 12 7 11 20 0 0 1982
"107" 108 2 16 5 11 5 6 0 0 1982
"108" 109 2 32 7 26 8 10 0 0 1982
"109" 110 1 9 8 25 8 13 0 0 1982
"110" 111 2 9 10 29 7 39 0 0 1982
"111" 112 2 11 7 27 4 28 17 1 1982
"112" 113 2 8 2 7 4 28 15 1 1982
"113" 114 1 9 2 7 4 28 11 1 1982
"114" 115 2 30 4 11 9 1 0 0 1982
"115" 116 2 9 2 7 2 24 0 0 1982
"116" 117 1 9 4 7 6 2 0 0 1982
"117" 118 2 10 4 7 3 31 0 0 1982
"118" 119 2 23 2 15 8 41 14 1 1982
"119" 120 2 9 2 7 10 36 15 1 1982
"120" 121 2 23 3 1 7 40 0 0 1982
"121" 122 2 10 10 7 9 1 0 0 1982
"122" 123 2 16 6 7 9 2 0 0 1982
"123" 124 2 23 6 22 3 31 0 0 1982
"124" 125 1 10 9 7 2 25 0 0 1982
"125" 126 1 6 12 7 5 6 11 1 1982
"126" 127 2 12 4 1 6 18 0 0 1982
"127" 128 2 11 12 7 4 28 19 1 1982
"128" 129 1 9 12 7 3 31 11 1 1982
"129" 130 2 9 11 17 11 43 0 0 1982
"130" 131 2 23 12 21 9 2 0 0 1982
"131" 132 2 31 12 9 8 41 0 0 1982
"132" 133 1 8 2 7 7 40 0 0 1982
"133" 134 2 19 1 7 1 23 0 0 1982
"134" 135 2 12 5 7 9 3 15 1 1982
"135" 136 2 13 9 7 11 20 0 0 1982
"136" 137 1 9 2 7 3 31 25 1 1982
"137" 138 2 14 9 7 1 14 0 0 1982
"138" 139 2 13 12 7 9 1 15 1 1982
"139" 140 2 23 12 10 12 39 0 0 1982
"140" 141 2 14 1 7 3 24 24 1 1982
"141" 142 2 16 1 7 3 31 0 0 1982
"142" 143 2 19 8 7 9 1 0 0 1982
"143" 144 2 8 2 7 2 24 0 0 1982
"144" 145 2 25 9 13 3 46 0 0 1982
"145" 146 2 11 9 7 8 10 0 0 1982
"146" 147 2 13 6 7 3 31 0 0 1982
"147" 149 2 6 8 25 3 31 19 1 1982
"148" 150 2 12 7 7 2 25 0 0 1982
"149" 151 2 19 8 21 4 15 0 0 1982
"150" 152 2 19 10 7 10 11 11 1 1982
"151" 153 2 13 4 7 3 31 0 0 1982
"152" 154 2 27 3 6 2 25 0 0 1982
"153" 155 2 10 1 14 10 32 0 0 1982
"154" 156 2 25 1 9 3 31 0 0 1982
"155" 157 2 31 10 18 9 1 19 1 1982
"156" 158 2 18 1 7 9 35 0 0 1982
"157" 159 2 30 11 1 5 7 0 0 1982
"158" 160 2 24 11 7 10 36 0 0 1982
"159" 161 2 23 11 25 7 30 24 1 1982
"160" 162 2 16 2 7 5 6 0 0 1982
"161" 163 2 19 7 31 9 35 0 0 1982
"162" 164 2 27 9 13 10 17 0 0 1982
"163" 165 2 12 4 23 2 25 0 0 1982
"164" 166 2 12 12 27 7 39 0 0 1982
"165" 167 2 13 3 7 5 6 23 1 1982
"166" 168 1 19 7 7 3 31 0 0 1982
"167" 169 2 15 9 21 3 31 0 0 1982
"168" 170 2 20 8 7 0 24 0 0 1982
"169" 171 2 26 12 18 12 39 0 0 1982
"170" 172 1 19 8 7 4 28 0 0 1982
"171" 173 2 17 12 6 0 31 0 0 1982
"172" 174 1 23 6 12 8 10 0 0 1982
"173" 175 1 13 7 7 11 22 0 0 1982
"174" 176 2 33 2 27 11 27 0 0 1982
"175" 177 2 25 5 6 9 2 0 0 1982
"176" 178 2 14 7 20 6 42 0 0 1982
"177" 179 2 16 8 18 3 31 26 1 1982
"178" 180 1 14 9 7 4 15 0 0 1982
"179" 181 2 15 7 7 3 46 0 0 1982
"180" 182 1 14 11 7 6 9 0 0 1982
"181" 183 2 16 3 28 10 17 20 1 1982
"182" 184 1 13 4 7 10 36 0 0 1982
"183" 185 2 17 1 1 9 2 0 0 1982
"184" 186 1 17 2 6 9 1 11 1 1982
"185" 187 1 14 2 7 3 31 0 0 1982
"186" 188 1 29 7 4 9 1 15 1 1982
"187" 189 1 9 4 7 9 35 11 1 1982
"188" 190 2 13 3 2 0 38 0 0 1982
"189" 191 2 19 5 30 0 31 0 0 1982
"190" 192 2 16 9 7 3 31 15 1 1982
"191" 193 1 14 7 7 4 15 0 0 1982
"192" 194 2 19 8 5 12 39 0 0 1982
"193" 196 2 13 1 29 7 39 0 0 1982
"194" 197 2 21 12 7 3 31 0 0 1982
"195" 198 1 10 6 7 5 6 15 1 1982
"196" 199 1 14 2 7 8 10 0 0 1982
"197" 200 1 7 11 7 9 2 11 1 1982
"198" 201 1 12 9 3 3 31 0 0 1982
"199" 202 2 15 7 18 3 31 15 1 1982
"200" 203 1 15 10 7 3 24 0 0 1982
"201" 204 2 13 6 7 9 35 15 1 1982
"202" 205 2 20 8 11 9 2 0 0 1982
"203" 206 2 24 9 17 1 45 17 1 1982
"204" 207 1 31 10 6 6 9 0 0 1982
"205" 208 1 15 3 7 12 39 0 0 1982
"206" 209 1 18 9 7 9 2 0 0 1982
"207" 210 1 17 2 6 6 18 0 0 1982
"208" 211 2 19 5 7 11 22 11 1 1982
"209" 212 1 11 5 7 9 35 0 0 1982
"210" 213 2 23 8 9 8 26 0 0 1982
"211" 214 1 23 10 12 1 12 0 0 1982
"212" 215 2 26 6 23 1 12 0 0 1982
"213" 216 1 27 12 1 1 14 0 0 1982
"214" 218 2 21 8 4 8 13 0 0 1982
"215" 219 1 13 11 11 1 45 14 1 1982
"216" 220 1 33 1 8 1 14 0 0 1982
"217" 221 2 28 12 31 1 14 0 0 1982
"218" 222 1 17 1 5 1 33 0 0 1982
"219" 223 2 18 1 17 1 45 11 1 1982
"220" 225 2 28 9 13 2 25 0 0 1982
"221" 226 2 26 7 23 1 25 11 1 1982
"222" 227 2 33 3 16 11 22 0 0 1982
"223" 228 1 23 8 28 2 25 0 0 1982
"224" 229 2 20 9 6 2 25 0 0 1982
"225" 232 1 33 1 8 2 24 0 0 1982
"226" 233 1 33 12 1 3 31 11 1 1982
"227" 234 1 26 11 27 2 25 0 0 1982
"228" 235 2 28 2 12 6 8 0 0 1982
"229" 236 1 24 9 2 1 25 0 0 1982
"230" 237 2 31 6 7 9 2 0 0 1982
"231" 238 1 28 8 11 1 25 0 0 1982
"232" 239 1 20 1 2 1 25 0 0 1982
"233" 240 1 31 7 31 2 24 0 0 1982
"234" 242 2 32 11 4 3 24 0 0 1982
"235" 245 1 32 4 19 3 31 0 0 1982
"236" 248 1 31 11 19 3 31 0 0 1982
"237" 251 2 20 4 7 3 31 0 0 1982
"238" 254 1 32 11 1 3 31 0 0 1982
"239" 256 2 30 2 2 3 31 0 0 1982
"240" 257 1 33 6 26 3 31 0 0 1982
"241" 259 2 29 1 24 3 31 11 1 1982
"242" 260 2 29 12 23 3 31 11 1 1982
